FIPS,ST,County,ObesityPct
00031,NE,Nebraska,33.9
00018,IN,Indiana,36.6
00032,NV,Nevada,33.5
00028,MS,Mississippi,39.5
00027,MN,Minnesota,19.2
00021,KY,Kentucky,27.1
00032,NV,Nevada,34
00027,MN,Minnesota,26.8
00026,MI,Michigan,
00024,MD,Maryland,31.5
00029,MO,Missouri,37.6
00025,MA,Massachusetts,27
00017,IL,Illinois,24.7
00030,MT,Montana,21
00021,KY,Kentucky,
00020,KS,Kansas,18.3
00030,MT,Montana,36.7
00017,IL,Illinois,31.6
00016,ID,Idaho,23
00030,MT,Montana,18.3
00022,LA,Louisiana,
00030,MT,Montana,
00027,MN,Minnesota,26
00026,MI,Michigan,22.2
00017,IL,Illinois,
00016,ID,Idaho,32.7
00017,IL,Illinois,21.8
00026,MI,Michigan,
00021,KY,Kentucky,
00029,MO,Missouri,24.3
00016,ID,Idaho,
00027,MN,Minnesota,33.6
00020,KS,Kansas,33.1
00016,ID,Idaho,20
00020,KS,Kansas,35.7
00030,MT,Montana,30.3
00029,MO,Missouri,44.6
00023,ME,Maine,
00032,NV,Nevada,36.8
00020,KS,Kansas,30.6
00024,MD,Maryland,22.5
00018,IN,Indiana,30.1
00031,NE,Nebraska,19.7
00024,MD,Maryland,27.9
00017,IL,Illinois,24.9
00019,IA,Iowa,
00021,KY,Kentucky,32.5
00018,IN,Indiana,
00030,MT,Montana,21.4
00022,LA,Louisiana,24
00025,MA,Massachusetts,34.8
00023,ME,Maine,21.2
00027,MN,Minnesota,35.9
00022,LA,Louisiana,
00029,MO,Missouri,16.5
00028,MS,Mississippi,32.7
00031,NE,Nebraska,35.9
00016,ID,Idaho,30.9
00031,NE,Nebraska,22.8
00022,LA,Louisiana,28.3
00024,MD,Maryland,34.8
00032,NV,Nevada,26.4
00018,IN,Indiana,
00024,MD,Maryland,17.6
00024,MD,Maryland,21.5
00020,KS,Kansas,37.2
00021,KY,Kentucky,
00022,LA,Louisiana,27.5
00021,KY,Kentucky,33.7
00028,MS,Mississippi,46.9
00059,US,United States,23.9
00041,OR,Oregon,19
00044,RI,Rhode Island,25.2
00034,NJ,New Jersey,38.3
00034,NJ,New Jersey,
00036,NY,New York,22.8
00035,NM,New Mexico,42.5
00033,NH,New Hampshire,16
00041,OR,Oregon,25.9
00036,NY,New York,28.5
00049,UT,Utah,
00045,SC,South Carolina,20.5
00041,OR,Oregon,29.2
00034,NJ,New Jersey,20.4
00040,OK,Oklahoma,25.3
00048,TX,Texas,34.5
00033,NH,New Hampshire,
00034,NJ,New Jersey,27.4
00040,OK,Oklahoma,22.6
00040,OK,Oklahoma,41.6
00034,NJ,New Jersey,20.7
00041,OR,Oregon,37.6
00059,US,United States,30.6
00072,PR,Puerto Rico,
00048,TX,Texas,45.9
00039,OH,Ohio,26.4
00033,NH,New Hampshire,
00046,SD,South Dakota,17.1
00039,OH,Ohio,38.1
00047,TN,Tennessee,
00033,NH,New Hampshire,
00045,SC,South Carolina,35
00035,NM,New Mexico,35.6
00072,PR,Puerto Rico,34.2
00038,ND,North Dakota,35.8
00048,TX,Texas,25.5
00049,UT,Utah,18.6
00035,NM,New Mexico,21.3
00038,ND,North Dakota,33.4
00044,RI,Rhode Island,41.2
00041,OR,Oregon,30.5
00040,OK,Oklahoma,44
00039,OH,Ohio,23.9
00049,UT,Utah,39.4
00044,RI,Rhode Island,30.8
00046,SD,South Dakota,32.6
00041,OR,Oregon,30.4
00047,TN,Tennessee,27.7
00045,SC,South Carolina,29.1
00072,PR,Puerto Rico,
00048,TX,Texas,39.6
00047,TN,Tennessee,
00035,NM,New Mexico,21.6
00059,US,United States,38.8
00047,TN,Tennessee,37.8
00044,RI,Rhode Island,
00044,RI,Rhode Island,21.7
00059,US,United States,34.1
00036,NY,New York,35.1
00072,PR,Puerto Rico,
00040,OK,Oklahoma,29.2
00049,UT,Utah,18.6
00042,PA,Pennsylvania,34.2
00040,OK,Oklahoma,38.4
00037,NC,North Carolina,37.2
00037,NC,North Carolina,30.6
00048,TX,Texas,31.8
00033,NH,New Hampshire,
00034,NJ,New Jersey,
00039,OH,Ohio,22.3
00049,UT,Utah,
00047,TN,Tennessee,38.9
00039,OH,Ohio,25.1
00045,SC,South Carolina,
00046,SD,South Dakota,36.6
00072,PR,Puerto Rico,
00037,NC,North Carolina,35.8
00038,ND,North Dakota,18.6
00040,OK,Oklahoma,29.5
00059,US,United States,43
00048,TX,Texas,27.1
00044,RI,Rhode Island,19.6
00047,TN,Tennessee,35.1
00038,ND,North Dakota,25.6
00038,ND,North Dakota,
00046,SD,South Dakota,39.1
00059,US,United States,33.8
00036,NY,New York,31.9
00049,UT,Utah,16.9
00046,SD,South Dakota,30.8
00047,TN,Tennessee,22.9
00033,NH,New Hampshire,19.8
00047,TN,Tennessee,
00072,PR,Puerto Rico,42.5
00036,NY,New York,31.2
00034,NJ,New Jersey,29.1
00039,OH,Ohio,33.2
00072,PR,Puerto Rico,53.7
00048,TX,Texas,44.6
00047,TN,Tennessee,38.9
00042,PA,Pennsylvania,23.2
00041,OR,Oregon,13
00046,SD,South Dakota,42.4
00040,OK,Oklahoma,39.2
00036,NY,New York,37.2
00045,SC,South Carolina,
00047,TN,Tennessee,49.5
00037,NC,North Carolina,27.6
00042,PA,Pennsylvania,32.4
00045,SC,South Carolina,35.2
00041,OR,Oregon,
00042,PA,Pennsylvania,15.4
00042,PA,Pennsylvania,32.7
00035,NM,New Mexico,32.4
00041,OR,Oregon,29
00072,PR,Puerto Rico,
00033,NH,New Hampshire,
00037,NC,North Carolina,23.1
00038,ND,North Dakota,
00044,RI,Rhode Island,31.9
00040,OK,Oklahoma,44.2
00046,SD,South Dakota,33.9
00046,SD,South Dakota,36.8
00033,NH,New Hampshire,22.2
00072,PR,Puerto Rico,34.1
00036,NY,New York,36.8
00035,NM,New Mexico,
00047,TN,Tennessee,
00047,TN,Tennessee,30.7
00048,TX,Texas,
00045,SC,South Carolina,30.6
00044,RI,Rhode Island,12.3
00036,NY,New York,36.4
00059,US,United States,21.7
00072,PR,Puerto Rico,37.7
00040,OK,Oklahoma,
00038,ND,North Dakota,
00048,TX,Texas,36.7
00047,TN,Tennessee,33.8
00042,PA,Pennsylvania,25.5
00041,OR,Oregon,20.1
00037,NC,North Carolina,
00033,NH,New Hampshire,
00035,NM,New Mexico,25.8
00041,OR,Oregon,18.2
00036,NY,New York,30.3
00045,SC,South Carolina,32
00059,US,United States,32.5
00044,RI,Rhode Island,32.7
00034,NJ,New Jersey,22.5
00041,OR,Oregon,16.1
00038,ND,North Dakota,24
00040,OK,Oklahoma,40.3
00034,NJ,New Jersey,38.4
00037,NC,North Carolina,18.3
00049,UT,Utah,22.7
00072,PR,Puerto Rico,
00047,TN,Tennessee,38
00048,TX,Texas,29.8
00039,OH,Ohio,
00049,UT,Utah,30.2
00046,SD,South Dakota,26.5
00036,NY,New York,28.1
00047,TN,Tennessee,32.4
00040,OK,Oklahoma,
00048,TX,Texas,29.4
00035,NM,New Mexico,24.2
00049,UT,Utah,14.4
00033,NH,New Hampshire,30.3
00033,NH,New Hampshire,
00037,NC,North Carolina,32.1
00039,OH,Ohio,35.3
00036,NY,New York,22.9
00049,UT,Utah,29.7
00045,SC,South Carolina,32.8
00034,NJ,New Jersey,34
00038,ND,North Dakota,35.4
00049,UT,Utah,28.4
00039,OH,Ohio,39
00044,RI,Rhode Island,29.2
00041,OR,Oregon,
00038,ND,North Dakota,37
00049,UT,Utah,20.1
00072,PR,Puerto Rico,43.7
00045,SC,South Carolina,23.5
00046,SD,South Dakota,
00042,PA,Pennsylvania,39
00049,UT,Utah,31.7
00072,PR,Puerto Rico,43.6
00037,NC,North Carolina,30.1
00048,TX,Texas,42.7
00039,OH,Ohio,35.8
00048,TX,Texas,
00035,NM,New Mexico,25.9
00035,NM,New Mexico,19.7
00037,NC,North Carolina,31
00072,PR,Puerto Rico,37
00039,OH,Ohio,18.4
00048,TX,Texas,35.5
00035,NM,New Mexico,26.7
00038,ND,North Dakota,23.8
00033,NH,New Hampshire,36.5
00042,PA,Pennsylvania,21.9
00035,NM,New Mexico,38.2
00034,NJ,New Jersey,30.7
00042,PA,Pennsylvania,
00037,NC,North Carolina,34.5
00049,UT,Utah,51.7
00044,RI,Rhode Island,24.2
00034,NJ,New Jersey,12.4
00036,NY,New York,22.2
00044,RI,Rhode Island,26.5
00045,SC,South Carolina,32.6
00034,NJ,New Jersey,25.3
00059,US,United States,19.6
00040,OK,Oklahoma,52.2
00045,SC,South Carolina,40.1
00059,US,United States,30.6
00039,OH,Ohio,27.9
00038,ND,North Dakota,39.9
00045,SC,South Carolina,26
00048,TX,Texas,21
00033,NH,New Hampshire,
00059,US,United States,26.5
00046,SD,South Dakota,23.4
00036,NY,New York,25.3
00037,NC,North Carolina,21.3
00045,SC,South Carolina,34
00059,US,United States,32.6
00037,NC,North Carolina,24.3
00037,NC,North Carolina,18.7
00039,OH,Ohio,31.5
00036,NY,New York,29.5
00047,TN,Tennessee,27.8
00037,NC,North Carolina,
00033,NH,New Hampshire,30.2
00059,US,United States,19.4
00045,SC,South Carolina,
00048,TX,Texas,21.9
00038,ND,North Dakota,24.2
00037,NC,North Carolina,28.1
00035,NM,New Mexico,
00049,UT,Utah,
00042,PA,Pennsylvania,
00042,PA,Pennsylvania,
00072,PR,Puerto Rico,36.5
00044,RI,Rhode Island,34.1
00049,UT,Utah,15.1
00048,TX,Texas,28.7
00033,NH,New Hampshire,20
00040,OK,Oklahoma,40
00034,NJ,New Jersey,34
00039,OH,Ohio,27.8
00046,SD,South Dakota,41.5
00042,PA,Pennsylvania,33.1
00039,OH,Ohio,
00059,US,United States,38.7
00047,TN,Tennessee,19.7
00033,NH,New Hampshire,
00047,TN,Tennessee,29.4
00047,TN,Tennessee,36
00041,OR,Oregon,23.6
00048,TX,Texas,12.7
00059,US,United States,20.1
00046,SD,South Dakota,23.4
00036,NY,New York,34.5
00047,TN,Tennessee,22.7
00045,SC,South Carolina,38.2
00034,NJ,New Jersey,20
00041,OR,Oregon,19.6
00033,NH,New Hampshire,30.7
00038,ND,North Dakota,27.1
00038,ND,North Dakota,
00038,ND,North Dakota,23.5
00033,NH,New Hampshire,17.8
00059,US,United States,27
00041,OR,Oregon,17.1
00035,NM,New Mexico,32.4
00036,NY,New York,25.6
00048,TX,Texas,21.7
00042,PA,Pennsylvania,34.3
00034,NJ,New Jersey,
00042,PA,Pennsylvania,19.3
00044,RI,Rhode Island,22.8
00037,NC,North Carolina,34.1
00042,PA,Pennsylvania,
00042,PA,Pennsylvania,38.5
00072,PR,Puerto Rico,48.7
00040,OK,Oklahoma,34.2
00034,NJ,New Jersey,32.8
00034,NJ,New Jersey,28.3
00039,OH,Ohio,37.2
00072,PR,Puerto Rico,45
00037,NC,North Carolina,39.9
00047,TN,Tennessee,28.8
00044,RI,Rhode Island,
00047,TN,Tennessee,32.7
00046,SD,South Dakota,35.9
00045,SC,South Carolina,31.9
00059,US,United States,21.2
00047,TN,Tennessee,44.4
00039,OH,Ohio,40.4
00042,PA,Pennsylvania,22.5
00034,NJ,New Jersey,26.1
00036,NY,New York,28.1
00046,SD,South Dakota,36.6
00040,OK,Oklahoma,30.2
00059,US,United States,20
00035,NM,New Mexico,
00049,UT,Utah,37.1
00041,OR,Oregon,30.9
00038,ND,North Dakota,33.6
00042,PA,Pennsylvania,19.9
00042,PA,Pennsylvania,20.7
00036,NY,New York,23.1
00045,SC,South Carolina,22.8
00035,NM,New Mexico,33.3
00042,PA,Pennsylvania,36.1
00041,OR,Oregon,17.8
00047,TN,Tennessee,31.2
00041,OR,Oregon,
00044,RI,Rhode Island,
00072,PR,Puerto Rico,27
00034,NJ,New Jersey,26.3
00041,OR,Oregon,31.4
00047,TN,Tennessee,42.7
00039,OH,Ohio,37.8
00040,OK,Oklahoma,
00036,NY,New York,29.9
00037,NC,North Carolina,24.8
00038,ND,North Dakota,24.7
00059,US,United States,36.5
00039,OH,Ohio,43.4
00072,PR,Puerto Rico,31.4
00040,OK,Oklahoma,23.3
00034,NJ,New Jersey,
00049,UT,Utah,13
00033,NH,New Hampshire,26.9
00048,TX,Texas,22.5
00045,SC,South Carolina,29.7
00042,PA,Pennsylvania,28.5
00059,US,United States,25.4
00037,NC,North Carolina,
00033,NH,New Hampshire,21.3
00048,TX,Texas,16.2
00045,SC,South Carolina,22
00035,NM,New Mexico,
00046,SD,South Dakota,31.3
00039,OH,Ohio,13.4
00035,NM,New Mexico,32.6
00048,TX,Texas,32.5
00039,OH,Ohio,30.3
00049,UT,Utah,17.8
00044,RI,Rhode Island,19.9
00036,NY,New York,15.4
00059,US,United States,31
00038,ND,North Dakota,17.6
00046,SD,South Dakota,
00037,NC,North Carolina,45.7
00038,ND,North Dakota,42.2
00037,NC,North Carolina,20
00034,NJ,New Jersey,27.3
00035,NM,New Mexico,27.2
00033,NH,New Hampshire,19.4
00044,RI,Rhode Island,30
00040,OK,Oklahoma,33.4
00034,NJ,New Jersey,29.5
00038,ND,North Dakota,24.4
00041,OR,Oregon,
00046,SD,South Dakota,23.4
00046,SD,South Dakota,37
00072,PR,Puerto Rico,
00048,TX,Texas,29.2
00042,PA,Pennsylvania,33.3
00049,UT,Utah,30.5
00037,NC,North Carolina,42.1
00042,PA,Pennsylvania,21.9
00059,US,United States,33.3
00040,OK,Oklahoma,34.6
00048,TX,Texas,34.4
00036,NY,New York,
00035,NM,New Mexico,
00040,OK,Oklahoma,32.8
00037,NC,North Carolina,36.1
00059,US,United States,30.9
00039,OH,Ohio,46
00045,SC,South Carolina,20.3
00035,NM,New Mexico,32.4
00049,UT,Utah,
00040,OK,Oklahoma,40.2
00037,NC,North Carolina,24.6
00040,OK,Oklahoma,38.3
00049,UT,Utah,36
00038,ND,North Dakota,26.1
00045,SC,South Carolina,
00033,NH,New Hampshire,39.7
00039,OH,Ohio,18.7
00046,SD,South Dakota,71.1
00033,NH,New Hampshire,26.9
00044,RI,Rhode Island,29.5
00045,SC,South Carolina,44.5
00042,PA,Pennsylvania,15.6
00041,OR,Oregon,31.4
00036,NY,New York,25.5
00046,SD,South Dakota,35.8
00034,NJ,New Jersey,23.3
00059,US,United States,27.2
00035,NM,New Mexico,36.2
00042,PA,Pennsylvania,
00040,OK,Oklahoma,
00038,ND,North Dakota,31.8
00072,PR,Puerto Rico,32.4
00059,US,United States,13.3
